checkpoint_key,checkpoint_path,threshold,teams_real_all_dev__n_videos,teams_real_all_dev__real_fpr,teams_real_all_dev__fake_recall,teams_real_poor_quality_dev__n_videos,teams_real_poor_quality_dev__real_fpr,teams_real_poor_quality_dev__fake_recall,teams_real_lighting_extreme_dev__n_videos,teams_real_lighting_extreme_dev__real_fpr,teams_real_lighting_extreme_dev__fake_recall,teams_fake_all_dev__n_videos,teams_fake_all_dev__real_fpr,teams_fake_all_dev__fake_recall,visomaster_enhanced_macro_dev__n_videos,visomaster_enhanced_macro_dev__real_fpr,visomaster_enhanced_macro_dev__fake_recall,deeplive_enhanced_dev__n_videos,deeplive_enhanced_dev__real_fpr,deeplive_enhanced_dev__fake_recall,dev_primary_real_fpr,dev_worst_real_stress_fpr,dev_fake_macro_recall
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.743906,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.611042,550,,0.06,545,,0.651376,0.056256,0.088508,0.440806
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.744336,3253,0.055948,,923,0.033586,,1401,0.087794,,2409,,0.610627,550,,0.06,545,,0.649541,0.055948,0.087794,0.440056
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.744331,3253,0.056256,,923,0.033586,,1401,0.088508,,2409,,0.610627,550,,0.06,545,,0.649541,0.056256,0.088508,0.440056
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.744358,3253,0.055948,,923,0.033586,,1401,0.087794,,2409,,0.610212,550,,0.06,545,,0.649541,0.055948,0.087794,0.439918
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.744906,3253,0.055026,,923,0.033586,,1401,0.085653,,2409,,0.609797,550,,0.06,545,,0.649541,0.055026,0.085653,0.439779
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.744872,3253,0.055334,,923,0.033586,,1401,0.086367,,2409,,0.609797,550,,0.06,545,,0.649541,0.055334,0.086367,0.439779
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.744503,3253,0.055641,,923,0.033586,,1401,0.087081,,2409,,0.609797,550,,0.06,545,,0.649541,0.055641,0.087081,0.439779
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.744363,3253,0.055948,,923,0.033586,,1401,0.087794,,2409,,0.609797,550,,0.06,545,,0.649541,0.055948,0.087794,0.439779
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.744952,3253,0.055026,,923,0.033586,,1401,0.085653,,2409,,0.609381,550,,0.06,545,,0.647706,0.055026,0.085653,0.439029
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.745142,3253,0.054719,,923,0.032503,,1401,0.085653,,2409,,0.608966,550,,0.06,545,,0.647706,0.054719,0.085653,0.438891
SLOT_A_ANCHOR_AWARE_STEP3500,gs://training-job-outputs/best_checkpoints/hp35c51p/periodic_effort_20260516_step3500_auc0.9952_eer0.0123.pth,0.745092,3253,0.055026,,923,0.033586,,1401,0.085653,,2409,,0.608966,550,,0.06,545,,0.647706,0.055026,0.085653,0.438891
